Company,Rating,Position,Salary,Size,Founded,Type,Industry,Sector,Revenue,Location
Maersk,4.1,Senior Data Scientist,,10000+ Employees,1928,Subsidiary or Business Segment,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),Pune
Wolters Kluwer,3.7,Senior Data Scientist,,10000+ Employees,1836,Company - Public,Consulting,Business Service,$2 to $5 billion (USD),Pune
DeepIntent,4.7,Senior Data Scientist,₹576K - ₹813K (Glassdoor Est.),51 to 200 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Pune
MINDBODY,3.8,Business Intelligence Analyst I,₹332K - ₹524K (Glassdoor Est.),1001 to 5000 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Pune
NICE Actimize,3.7,Tech Manager Data Scientist,₹184K - ₹307K (Glassdoor Est.),501 to 1000 Employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Pune
Ecolab,3.7,Senior Data Scientist,₹246K - ₹485K (Glassdoor Est.),10000+ Employees,1923,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),Pune
Aera Technology,4.3,Senior Data Scientist,,201 to 500 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Pune
Evolent Health,3.6,"Data Analyst, Integration Quality- Intern, On contract",,1001 to 5000 Employees,2011,Company - Public,Healthcare Services & Hospital,Healthcare,$25 to $50 million (USD),Pune
AssetOne,,AI/Machine Learning Engineer,,Unknown,,Company - Public,,,Unknown / Non-Applicable,Pune
Siemens Technology and Services Private Limited,4.1,Data Scientist – Smart Building Analytics,,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Pune
Peak,3.0,Senior Data Scientist,,51 to 200 Employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),Pune
